"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
2006-06,67.72,,57.10,,10.62,,71.95,,61.20,,10.75,,,,,,,,-4.53,,-4.22,,0.21,
2006-07,69.23,,56.77,,12.46,,74.14,,61.35,,12.79,,,,,,,,-5.22,,-4.67,,0.21,
2006-08,68.52,,55.03,,13.49,,72.98,,59.89,,13.09,,,,,,,,-4.77,,-4.92,,0.25,
2006-09,73.78,,59.12,,14.66,,77.89,,63.72,,14.17,,,,,,,,-5.19,,-4.69,,1.02,
2006-10,76.18,,59.01,,17.17,,80.18,,63.57,,16.61,,,,,,,,-5.18,,-4.70,,1.11,
2006-11,75.51,,59.47,,16.04,,80.90,,64.34,,16.56,,,,,,,,-5.65,,-4.99,,0.17,
2006-12,75.90,,59.78,,16.12,,79.49,,64.90,,14.59,,,,,,,,-5.34,,-5.20,,1.66,
2007-01,74.50,,57.37,,17.13,,78.09,,61.17,,16.92,,,,,,,,-3.98,,-3.93,,0.32,
2007-02,75.30,,61.28,,14.02,,78.95,,65.24,,13.71,,,,,,,,-4.15,,-4.05,,0.40,
2007-03,74.72,,59.46,,15.26,,77.56,,62.92,,14.64,,,,,,,,-4.01,,-3.56,,1.11,
2007-04,77.32,,60.06,,17.26,,80.83,,64.07,,16.76,,,,,,,,-4.03,,-4.10,,0.45,
2007-05,76.25,,59.85,,16.40,,79.52,,63.10,,16.42,,,,,,,,-3.92,,-3.34,,0.56,
2007-06,76.75,,60.94,,15.81,,80.07,,64.87,,15.20,,,,,,,,-3.87,,-4.02,,0.45,
2007-07,76.75,,59.68,,17.07,,80.42,,63.24,,17.18,,,,,,,,-4.02,,-3.66,,0.27,
2007-08,78.62,,61.51,,17.11,,81.67,,65.26,,16.41,,,,,,,,-3.94,,-3.88,,0.55,
2007-09,80.13,,61.28,,18.85,,82.39,,64.35,,18.04,,,,,,,,-3.63,,-3.22,,1.29,
2007-10,78.32,,60.62,,17.70,,82.40,,64.98,,17.42,,,,,,,,-4.30,,-4.46,,0.11,
2007-11,80.39,,61.55,,18.84,,83.16,,65.34,,17.82,,,,,,,,-3.98,,-3.98,,1.09,
2007-12,81.50,,63.85,,17.65,,84.04,,67.87,,16.17,,,,,,,,-3.75,,-4.16,,1.13,
2008-01,81.15,,62.62,,18.53,,84.62,,66.61,,18.01,,90.42,,67.14,,23.28,,-4.35,,-4.13,,0.71,
2008-02,79.39,,63.70,,15.69,,82.90,,66.92,,15.98,,88.28,,66.47,,21.81,,-4.41,,-3.38,,0.73,
2008-03,80.58,,63.91,,16.67,,83.67,,67.31,,16.36,,89.09,,67.03,,22.06,,-4.16,,-3.52,,0.91,
2008-04,80.57,,62.28,,18.29,,83.94,,66.17,,17.77,,88.85,,65.98,,22.87,,-4.38,,-4.11,,0.82,
2008-05,79.14,,64.44,,14.70,,82.29,,67.66,,14.63,,86.85,,65.47,,21.38,,-3.58,,-3.35,,0.31,
2008-06,81.33,,63.29,,18.04,,84.01,,66.43,,17.58,,88.49,,63.53,,24.96,,-3.55,,-3.29,,0.72,
2008-07,79.78,,66.72,,13.06,,83.00,,70.42,,12.58,,87.03,,66.84,,20.19,,-3.81,,-3.84,,0.43,
2008-08,80.77,,65.68,,15.09,,83.65,,68.85,,14.80,,87.65,,66.23,,21.42,,-3.61,,-3.29,,0.59,
2008-09,79.62,,65.80,,13.82,,82.15,,69.36,,12.79,,86.26,,66.91,,19.35,,-3.80,,-3.72,,1.09,
2008-10,80.30,,64.04,,16.26,,82.65,,67.21,,15.44,,86.91,,66.77,,20.14,,-3.67,,-3.58,,1.15,
2008-11,71.89,,62.44,,9.45,,75.31,,65.31,,10.00,,79.73,,66.52,,13.21,,-4.19,,-3.38,,0.51,
2008-12,71.07,,58.29,,12.78,,72.49,,62.17,,10.32,,77.57,,65.40,,12.17,,-3.96,,-4.15,,2.38,
2009-01,65.26,,55.81,,9.45,,67.36,,58.13,,9.23,,72.58,,62.06,,10.52,,-2.78,,-2.77,,0.59,
2009-02,62.67,,54.25,,8.42,,65.20,,56.51,,8.69,,70.36,,60.26,,10.10,,-2.98,,-2.82,,0.31,
2009-03,61.13,,53.06,,8.07,,64.90,,56.12,,8.78,,70.48,,60.59,,9.89,,-4.60,,-3.64,,0.63,
2009-04,62.13,,51.24,,10.89,,64.58,,53.89,,10.69,,69.73,,58.88,,10.85,,-3.49,,-3.13,,0.91,
2009-05,59.81,,49.36,,10.45,,63.17,,52.24,,10.93,,68.41,,56.74,,11.67,,-4.09,,-3.12,,0.41,
2009-06,62.10,,49.76,,12.34,,65.57,,52.88,,12.69,,71.14,,57.30,,13.84,,-4.28,,-3.24,,0.58,
2009-07,65.08,,50.89,,14.19,,67.97,,53.84,,14.13,,73.89,,58.71,,15.18,,-3.75,,-3.25,,0.65,
2009-08,63.22,,51.44,,11.78,,66.67,,54.80,,11.87,,72.32,,59.37,,12.95,,-4.32,,-3.47,,0.70,
2009-09,64.50,,54.78,,9.72,,67.43,,58.02,,9.41,,73.19,,63.16,,10.03,,-3.95,,-3.43,,0.78,
2009-10,64.44,,51.90,,12.54,,67.34,,55.87,,11.47,,72.65,,60.36,,12.29,,-4.24,,-4.07,,1.14,
2009-11,66.91,,52.32,,14.59,,69.60,,54.48,,15.12,,75.11,,58.46,,16.65,,-3.23,,-2.32,,0.42,
2009-12,70.67,,53.67,,17.00,,71.32,,56.84,,14.48,,76.72,,60.34,,16.38,,-3.37,,-3.32,,2.49,
2010-01,65.58,,54.56,,11.02,,69.36,,58.25,,11.11,,74.47,,61.51,,12.96,,-4.69,,-4.12,,0.66,
2010-02,68.25,,54.19,,14.06,,71.58,,58.24,,13.34,,76.49,,60.88,,15.61,,-4.98,,-4.42,,1.19,
2010-03,73.04,,61.54,,11.50,,76.71,,64.69,,12.02,,81.82,,66.76,,15.06,,-4.68,,-3.67,,0.53,
2010-04,72.39,,58.51,,13.88,,75.43,,61.87,,13.56,,79.33,,62.91,,16.42,,-4.51,,-3.88,,0.99,
2010-05,76.48,,65.37,,11.11,,79.38,,68.40,,10.98,,83.27,,68.78,,14.49,,-4.31,,-4.23,,0.91,
2010-06,77.68,,65.47,,12.21,,81.07,,69.27,,11.80,,84.96,,68.94,,16.02,,-4.91,,-4.73,,0.89,
2010-07,76.94,,64.12,,12.82,,80.65,,68.33,,12.32,,84.41,,67.84,,16.57,,-5.40,,-4.67,,1.17,
2010-08,77.12,,64.85,,12.27,,79.97,,68.12,,11.85,,83.50,,67.93,,15.57,,-4.30,,-3.80,,0.93,
2010-09,79.39,,64.57,,14.82,,81.59,,67.81,,13.78,,84.96,,67.50,,17.46,,-4.07,,-3.70,,1.34,
2010-10,79.89,,64.75,,15.14,,82.42,,68.08,,14.34,,85.49,,67.94,,17.55,,-4.36,,-3.73,,1.20,
2010-11,80.99,,67.15,,13.84,,83.70,,70.91,,12.79,,86.70,,70.16,,16.54,,-4.96,,-4.43,,1.49,
2010-12,80.76,,65.95,,14.81,,83.21,,69.76,,13.45,,85.90,,67.58,,18.32,,-4.43,,-4.38,,1.24,
2011-01,82.04,,68.79,,13.25,,84.67,,71.75,,12.92,,86.73,,69.01,,17.72,,-4.41,,-3.40,,1.33,
2011-02,82.53,,70.11,,12.42,,85.54,,73.62,,11.92,,87.51,,70.15,,17.36,,-4.34,,-4.01,,0.97,
2011-03,86.42,,71.99,,14.43,,89.23,,74.69,,14.54,,91.26,,70.41,,20.85,,-4.49,,-3.19,,1.06,
2011-04,84.76,,72.39,,12.37,,87.27,,75.03,,12.24,,88.44,,70.85,,17.59,,-3.95,,-2.97,,1.02,
2011-05,84.68,,71.54,,13.14,,87.95,,75.25,,12.70,,89.49,,71.38,,18.11,,-4.91,,-4.14,,1.02,
2011-06,86.10,,73.65,,12.45,,88.69,,76.00,,12.69,,90.20,,72.11,,18.09,,-3.84,,-3.03,,0.87,
2011-07,84.80,,72.96,,11.84,,87.41,,76.46,,10.95,,88.63,,71.89,,16.74,,-4.91,,-4.14,,1.74,
2011-08,86.93,,72.92,,14.01,,89.45,,76.02,,13.43,,90.90,,72.24,,18.66,,-4.62,,-4.15,,1.29,
2011-09,86.89,,72.04,,14.85,,90.02,,75.63,,14.39,,91.44,,71.57,,19.87,,-5.41,,-4.29,,1.31,
2011-10,84.52,,72.74,,11.78,,88.29,,76.17,,12.12,,89.22,,72.02,,17.20,,-5.03,,-4.28,,0.54,
2011-11,87.14,,71.27,,15.87,,89.93,,74.95,,14.98,,90.91,,70.54,,20.37,,-4.67,,-4.37,,1.10,
2011-12,85.23,,71.55,,13.68,,87.03,,74.24,,12.79,,88.17,,69.45,,18.72,,-3.73,,-3.37,,1.16,
2012-01,87.67,,70.28,,17.39,,89.47,,72.89,,16.58,,90.03,,67.80,,22.23,,-3.88,,-3.29,,1.46,
2012-02,89.42,,73.17,,16.25,,90.54,,75.52,,15.02,,90.88,,69.59,,21.29,,-3.51,,-2.94,,1.86,
2012-03,88.65,,74.47,,14.18,,90.35,,76.43,,13.92,,90.78,,70.14,,20.64,,-3.71,,-2.53,,1.32,
2012-04,87.18,,70.88,,16.30,,89.92,,73.85,,16.07,,89.63,,68.10,,21.53,,-4.49,,-3.43,,1.09,
2012-05,90.75,,74.32,,16.43,,93.18,,77.07,,16.11,,93.23,,71.43,,21.80,,-4.64,,-3.33,,1.54,
2012-06,90.14,,72.76,,17.38,,92.06,,75.08,,16.98,,92.34,,70.15,,22.19,,-4.38,,-3.01,,1.67,
2012-07,90.12,,72.83,,17.29,,92.26,,75.51,,16.75,,92.36,,70.04,,22.32,,-4.37,,-3.47,,1.67,
2012-08,91.61,,72.53,,19.08,,94.01,,75.56,,18.45,,93.70,,69.60,,24.10,,-4.46,,-3.69,,1.43,
2012-09,89.45,,72.69,,16.76,,91.61,,75.14,,16.47,,91.35,,69.65,,21.70,,-4.23,,-3.11,,1.44,
2012-10,90.10,,74.72,,15.38,,91.74,,76.65,,15.09,,91.37,,71.44,,19.93,,-3.50,,-2.61,,1.15,
2012-11,86.83,,70.23,,16.60,,89.12,,73.18,,15.94,,88.75,,68.22,,20.53,,-4.30,,-3.58,,1.33,
2012-12,89.34,,71.94,,17.40,,90.73,,74.05,,16.68,,90.74,,69.19,,21.55,,-3.49,,-2.63,,1.47,
2013-01,89.22,,72.04,,17.18,,90.89,,74.57,,16.32,,91.10,,70.11,,20.99,,-4.26,,-3.55,,1.61,
2013-02,87.80,,71.59,,16.21,,90.19,,73.05,,17.14,,90.37,,68.51,,21.86,,-4.40,,-2.29,,1.21,
2013-03,89.87,,70.90,,18.97,,91.25,,73.71,,17.54,,91.45,,69.12,,22.33,,-4.15,,-3.67,,1.75,
2013-04,89.58,,71.41,,18.17,,90.96,,73.94,,17.02,,91.22,,70.33,,20.89,,-3.95,,-3.44,,1.73,
2013-05,88.51,,71.79,,16.72,,90.09,,75.39,,14.70,,90.60,,71.83,,18.77,,-3.49,,-4.57,,1.29,
2013-06,88.34,,72.34,,16.00,,90.80,,74.51,,16.29,,91.56,,71.13,,20.43,,-5.10,,-3.13,,2.06,
2013-07,87.93,,73.36,,14.57,,89.24,,74.53,,14.71,,90.08,,71.00,,19.08,,-3.44,,-2.08,,1.41,
2013-08,90.40,,74.93,,15.47,,91.07,,75.49,,15.58,,91.68,,71.83,,19.85,,-3.10,,-1.26,,1.76,
2013-09,90.27,,72.54,,17.73,,91.73,,73.30,,18.43,,92.32,,69.83,,22.49,,-3.80,,-1.65,,1.69,
2013-10,90.53,,73.13,,17.40,,92.25,,75.50,,16.75,,92.92,,72.41,,20.51,,-3.98,,-3.43,,1.64,
2013-11,91.81,,72.71,,19.10,,92.38,,74.44,,17.94,,93.08,,71.40,,21.68,,-3.49,,-2.90,,2.29,
2013-12,91.67,,73.43,,18.24,,91.89,,74.60,,17.29,,92.93,,71.36,,21.57,,-3.49,,-2.03,,2.38,
2014-01,92.50,,73.41,,19.09,,93.59,,75.70,,17.89,,94.53,,72.92,,21.61,,-3.73,,-3.08,,1.92,
2014-02,90.92,,74.45,,16.47,,92.66,,76.45,,16.21,,93.58,,73.65,,19.93,,-3.97,,-2.98,,1.48,
2014-03,88.84,,72.41,,16.43,,90.40,,75.83,,14.57,,91.55,,73.47,,18.08,,-3.83,,-4.05,,1.61,
2014-04,91.72,,73.68,,18.04,,92.91,,75.56,,17.35,,93.80,,73.56,,20.24,,-3.69,,-2.69,,1.92,
2014-05,90.15,,73.17,,16.98,,91.25,,73.80,,17.45,,92.40,,71.80,,20.60,,-3.74,,-1.34,,1.83,
2014-06,91.76,,74.33,,17.43,,93.58,,77.28,,16.30,,94.33,,74.71,,19.62,,-4.10,,-3.69,,1.51,
2014-07,94.52,,74.27,,20.25,,96.46,,75.23,,21.23,,97.25,,72.95,,24.30,,-4.10,,-1.65,,1.44,
2014-08,90.69,,73.57,,17.12,,92.44,,75.57,,16.87,,92.85,,73.21,,19.64,,-4.39,,-2.86,,1.76,
2014-09,94.34,,75.65,,18.69,,96.04,,77.82,,18.22,,96.71,,75.42,,21.29,,-4.20,,-2.81,,1.80,
2014-10,95.82,,74.92,,20.90,,96.37,,76.26,,20.11,,96.79,,74.16,,22.63,,-3.84,,-2.11,,2.54,
2014-11,92.75,,74.75,,18.00,,94.12,,76.33,,17.79,,94.68,,74.65,,20.03,,-3.55,,-2.71,,1.52,
2014-12,96.69,,74.74,,21.95,,97.78,,76.58,,21.20,,98.84,,76.15,,22.69,,-3.99,,-2.95,,2.16,
2015-01,94.20,,74.07,,20.13,,96.34,,76.09,,20.25,,96.73,,76.55,,20.18,,-4.33,,-3.06,,1.63,
2015-02,95.58,,75.82,,19.76,,98.06,,77.95,,20.11,,98.16,,77.64,,20.52,,-4.95,,-3.40,,1.82,
2015-03,96.82,,76.97,,19.85,,98.34,,79.56,,18.78,,97.95,,78.54,,19.41,,-3.83,,-3.37,,1.76,
2015-04,96.89,,76.77,,20.12,,100.06,,78.88,,21.18,,99.46,,77.49,,21.97,,-6.00,,-2.94,,2.26,
2015-05,99.32,,77.20,,22.12,,101.19,,79.50,,21.69,,100.79,,78.17,,22.62,,-5.10,,-3.05,,2.53,
2015-06,98.22,,76.49,,21.73,,100.27,,79.26,,21.01,,99.97,,78.17,,21.80,,-4.67,,-3.73,,1.91,
2015-07,100.59,,79.15,,21.44,,103.02,,80.40,,22.62,,102.61,,79.68,,22.93,,-5.60,,-2.71,,2.16,
2015-08,94.84,,76.10,,18.74,,97.06,,78.87,,18.19,,97.06,,79.19,,17.87,,-4.78,,-3.86,,1.78,
2015-09,98.04,,77.22,,20.82,,99.87,,81.05,,18.82,,100.17,,81.95,,18.22,,-4.73,,-5.05,,2.04,
2015-10,96.07,,74.91,,21.16,,98.86,,78.74,,20.12,,99.16,,79.78,,19.38,,-5.58,,-4.69,,1.93,
2015-11,97.18,,76.57,,20.61,,98.82,,79.18,,19.64,,99.02,,80.47,,18.55,,-4.36,,-3.50,,1.92,
2015-12,94.97,,75.29,,19.68,,97.68,,77.93,,19.75,,98.27,,80.09,,18.18,,-4.59,,-3.75,,0.99,
2016-01,95.01,,75.79,,19.22,,98.01,,78.89,,19.12,,99.00,,82.35,,16.65,,-4.81,,-4.02,,1.21,
2016-02,96.49,,76.26,,20.23,,98.42,,79.66,,18.76,,99.92,,83.94,,15.98,,-4.81,,-4.03,,2.34,
2016-03,97.39,,74.98,,22.41,,100.12,,77.68,,22.44,,101.64,,81.43,,20.21,,-5.88,,-3.65,,2.26,
2016-04,98.94,,74.73,,24.21,,100.63,,77.16,,23.47,,102.27,,80.97,,21.30,,-5.22,,-3.31,,2.29,
2016-05,96.62,,74.48,,22.14,,98.68,,77.36,,21.32,,100.08,,80.67,,19.41,,-4.97,,-3.66,,1.88,
2016-06,97.63,,76.74,,20.89,,99.12,,78.52,,20.60,,100.32,,81.28,,19.04,,-4.57,,-2.79,,2.02,
2016-07,96.95,,75.89,,21.06,,98.27,,78.30,,19.97,,99.36,,80.89,,18.47,,-4.27,,-3.65,,1.69,
2016-08,98.74,,78.40,,20.34,,100.87,,80.26,,20.61,,101.99,,82.91,,19.08,,-5.32,,-2.83,,2.15,
2016-09,98.50,,77.77,,20.73,,100.05,,79.72,,20.33,,100.96,,82.27,,18.69,,-4.19,,-2.85,,1.69,
2016-10,98.79,,78.30,,20.49,,100.50,,80.52,,19.98,,101.01,,82.33,,18.68,,-4.40,,-3.09,,2.01,
2016-11,101.38,,80.08,,21.30,,102.54,,81.88,,20.66,,102.64,,83.13,,19.51,,-4.39,,-2.82,,2.33,
2016-12,97.03,,80.49,,16.54,,100.40,,82.14,,18.26,,99.90,,81.98,,17.92,,-5.97,,-3.09,,1.83,
2017-01,101.61,,82.35,,19.26,,103.04,,84.09,,18.95,,102.22,,83.42,,18.80,,-4.29,,-3.27,,1.84,
2017-02,103.45,,81.16,,22.29,,105.36,,84.11,,21.25,,104.42,,83.03,,21.39,,-4.94,,-4.11,,2.35,
2017-03,102.51,,82.63,,19.88,,104.61,,85.37,,19.24,,103.78,,84.69,,19.09,,-5.31,,-4.37,,2.06,
2017-04,104.46,,83.36,,21.10,,106.59,,86.20,,20.39,,105.53,,85.69,,19.84,,-4.93,,-3.86,,1.89,
2017-05,104.94,,85.08,,19.86,,106.96,,86.72,,20.24,,106.22,,86.98,,19.24,,-5.10,,-2.85,,2.16,
2017-06,103.98,,81.56,,22.42,,105.43,,84.18,,21.25,,104.91,,85.12,,19.79,,-4.16,,-3.55,,2.10,
2017-07,104.19,,82.88,,21.31,,105.63,,85.50,,20.13,,105.21,,86.71,,18.50,,-4.50,,-4.07,,2.22,
2017-08,106.58,,84.63,,21.95,,108.55,,86.87,,21.68,,108.23,,88.01,,20.22,,-5.51,,-3.44,,2.75,
2017-09,106.18,,83.13,,23.05,,107.80,,85.54,,22.26,,107.26,,86.06,,21.20,,-4.22,,-3.36,,1.89,
2017-10,105.59,,84.43,,21.16,,107.06,,87.05,,20.01,,106.21,,86.96,,19.25,,-4.33,,-3.57,,2.16,
2017-11,108.96,,85.85,,23.11,,110.60,,88.15,,22.45,,109.50,,87.45,,22.05,,-4.58,,-3.31,,2.40,
2017-12,107.41,,86.51,,20.90,,110.40,,89.15,,21.25,,109.20,,88.18,,21.02,,-5.03,,-3.58,,1.45,
2018-01,109.03,,87.15,,21.88,,110.36,,89.26,,21.10,,109.05,,88.03,,21.02,,-4.49,,-2.98,,2.55,
2018-02,107.05,,86.24,,20.81,,107.79,,88.18,,19.61,,106.72,,87.57,,19.15,,-3.51,,-2.62,,2.24,
2018-03,107.51,,85.47,,22.04,,108.97,,87.07,,21.90,,107.89,,86.55,,21.34,,-3.69,,-2.57,,1.54,
2018-04,108.06,,87.61,,20.45,,109.96,,89.73,,20.23,,108.66,,88.75,,19.91,,-4.69,,-2.96,,2.15,
2018-05,108.86,,87.62,,21.24,,110.98,,90.51,,20.47,,109.12,,88.13,,20.99,,-4.08,,-3.67,,1.38,
2018-06,109.63,,89.45,,20.18,,111.26,,91.45,,19.81,,109.19,,88.61,,20.58,,-4.70,,-2.95,,2.35,
2018-07,108.36,,92.43,,15.93,,110.36,,94.16,,16.20,,108.09,,91.15,,16.94,,-4.21,,-3.00,,1.64,
2018-08,109.14,,90.67,,18.47,,111.21,,92.25,,18.96,,108.50,,89.13,,19.37,,-4.43,,-2.73,,1.63,
2018-09,107.30,,90.47,,16.83,,109.88,,92.26,,17.62,,107.10,,88.71,,18.39,,-5.16,,-2.82,,1.77,
2018-10,108.90,,92.34,,16.56,,110.29,,93.15,,17.14,,107.29,,88.71,,18.58,,-4.16,,-2.15,,1.84,
2018-11,106.48,,90.98,,15.50,,110.32,,91.51,,18.81,,107.52,,88.08,,19.44,,-6.01,,-1.62,,1.54,
2018-12,108.29,,90.93,,17.36,,111.63,,92.38,,19.25,,109.12,,90.04,,19.08,,-5.77,,-2.26,,1.67,
2019-01,110.92,,92.63,,18.29,,112.25,,93.76,,18.49,,109.73,,91.65,,18.08,,-4.79,,-2.23,,2.81,
2019-02,108.49,,90.88,,17.61,,110.76,,92.53,,18.23,,108.38,,90.45,,17.93,,-4.66,,-2.48,,1.67,
2019-03,111.24,,90.89,,20.35,,112.14,,92.31,,19.83,,109.51,,90.23,,19.28,,-4.57,,-2.33,,2.50,
2019-04,107.59,,91.01,,16.58,,109.70,,91.94,,17.76,,107.23,,89.70,,17.53,,-4.81,,-1.91,,1.93,
2019-05,107.37,,90.49,,16.88,,110.42,,91.87,,18.55,,107.94,,89.72,,18.22,,-5.05,,-2.14,,1.16,
2019-06,108.85,,91.29,,17.56,,111.10,,92.70,,18.40,,108.71,,91.51,,17.20,,-4.56,,-2.12,,1.35,
2019-07,109.12,,90.02,,19.10,,110.95,,91.31,,19.64,,108.35,,90.41,,17.94,,-5.29,,-2.25,,2.22,
2019-08,109.15,,89.95,,19.20,,110.58,,91.45,,19.13,,107.99,,90.90,,17.09,,-4.17,,-2.45,,1.54,
2019-09,110.18,,91.65,,18.53,,111.58,,92.46,,19.12,,108.75,,91.18,,17.57,,-5.34,,-2.23,,2.37,
2019-10,110.39,,91.72,,18.67,,112.70,,93.10,,19.60,,109.95,,92.00,,17.95,,-5.62,,-2.44,,2.07,
2019-11,107.71,,89.96,,17.75,,110.54,,91.91,,18.63,,107.74,,90.46,,17.28,,-5.69,,-3.13,,1.90,
2019-12,108.92,,90.56,,18.36,,110.67,,91.74,,18.93,,107.76,,90.03,,17.73,,-5.56,,-2.61,,2.97,
2020-01,109.67,,91.45,,18.22,,111.19,,93.20,,17.99,,108.27,,92.00,,16.27,,-4.39,,-3.22,,1.77,
2020-02,110.95,,89.86,,21.09,,112.50,,91.04,,21.46,,109.65,,90.77,,18.88,,-5.00,,-2.72,,1.89,
2020-03,97.95,,85.21,,12.74,,99.01,,85.84,,13.17,,97.26,,88.77,,8.49,,-4.72,,-3.35,,1.97,
2020-04,73.92,,70.40,,3.52,,75.68,,72.14,,3.54,,74.71,,76.02,,-1.31,,-4.68,,-3.90,,0.99,
2020-05,82.51,,73.28,,9.23,,82.24,,75.05,,7.19,,81.35,,78.83,,2.52,,-2.13,,-2.91,,0.89,
2020-06,92.76,,78.99,,13.77,,94.77,,80.30,,14.47,,93.74,,83.73,,10.01,,-4.66,,-2.50,,1.44,
2020-07,97.49,,78.95,,18.54,,98.90,,81.00,,17.90,,97.82,,83.94,,13.88,,-4.26,,-3.76,,1.49,
2020-08,101.34,,84.18,,17.16,,101.89,,86.84,,15.05,,100.58,,89.80,,10.78,,-4.19,,-3.85,,1.79,
2020-09,103.34,,84.76,,18.58,,104.29,,87.53,,16.76,,102.75,,90.33,,12.42,,-4.24,,-3.91,,1.23,
2020-10,103.15,,84.57,,18.58,,104.96,,87.20,,17.76,,103.31,,89.62,,13.69,,-4.37,,-3.87,,1.39,
2020-11,105.74,,87.81,,17.93,,106.93,,91.04,,15.89,,104.83,,93.09,,11.74,,-4.25,,-4.82,,1.70,
2020-12,106.61,,88.55,,18.06,,107.30,,90.83,,16.47,,105.09,,92.21,,12.88,,-4.37,,-3.86,,2.39,
2021-01,107.70,,86.27,,21.43,,109.29,,87.95,,21.34,,106.31,,87.77,,18.54,,-4.37,,-3.29,,1.48,
2021-02,108.86,,90.21,,18.65,,110.04,,91.44,,18.60,,106.52,,89.91,,16.61,,-4.00,,-2.85,,1.60,
2021-03,111.73,,96.21,,15.52,,111.86,,97.52,,14.34,,107.66,,94.31,,13.35,,-5.04,,-3.75,,3.27,
2021-04,110.91,,95.40,,15.51,,112.00,,96.34,,15.66,,106.97,,92.10,,14.87,,-4.29,,-3.52,,1.45,
2021-05,112.56,,98.38,,14.18,,112.30,,99.54,,12.76,,106.55,,93.46,,13.09,,-4.36,,-3.54,,3.07,
2021-06,111.96,,98.52,,13.44,,113.72,,100.23,,13.49,,107.08,,92.46,,14.62,,-4.54,,-3.86,,1.21,
2021-07,112.58,Provisional value,95.35,Provisional value,17.23,Provisional value,114.39,,96.65,,17.74,,106.31,,87.15,,19.16,,-4.94,Provisional value,-3.22,Provisional value,1.77,Provisional value
