"",BBK01.TSD303O,BBK01.TSD303O_FLAGS,BBK01.TSD302,BBK01.TSD302_FLAGS,BBK01.TSD304,BBK01.TSD304_FLAGS,BBK01.TSD305,BBK01.TSD305_FLAGS,BBK01.TSD306,BBK01.TSD306_FLAGS,BBK01.TS5379O,BBK01.TS5379O_FLAGS,BBK01.TS1353,BBK01.TS1353_FLAGS,BBK01.TZ5353O,BBK01.TZ5353O_FLAGS,BBK01.TZ4952,BBK01.TZ4952_FLAGS,BBK01.TZ4954,BBK01.TZ4954_FLAGS,BBK01.TZ4955,BBK01.TZ4955_FLAGS,BBK01.TZ4956,BBK01.TZ4956_FLAGS,BBK01.TZ5379O,BBK01.TZ5379O_FLAGS,BBK01.TZ1303,BBK01.TZ1303_FLAGS,BBK01.TS5303O,BBK01.TS5303O_FLAGS,BBK01.AY4952,BBK01.AY4952_FLAGS,BBK01.AY4954,BBK01.AY4954_FLAGS,BBK01.AY4955,BBK01.AY4955_FLAGS,BBK01.AY4956,BBK01.AY4956_FLAGS,BBK01.TS5329O,BBK01.TS5329O_FLAGS,BBK01.TS1303,BBK01.TS1303_FLAGS
2013-05,2272.5,,2240.1,,1390.4,,318.0,,531.7,,32.5,,9836.0,,-1.5,,0.4,,1.4,,-2.4,,1.4,,-1.9,,11.9,,115.96388,,118.31322,,170.16595,,47.61436,,124.79441,,48.96765,,105.82618,
2013-06,2267.5,,2239.0,,1392.6,,313.8,,532.5,,28.5,,9818.1,,-5.4,,-1.5,,2.4,,-4.6,,0.8,,-3.9,,-17.9,,115.69042,,118.23642,,170.45472,,46.92456,,124.98086,,43.07548,,105.63344,
2013-07,2278.3,,2246.6,,1405.2,,308.8,,532.6,,31.7,,9832.8,,11.5,,8.3,,13.0,,-4.8,,0.1,,3.2,,16.7,,116.27748,,118.67273,,172.04339,,46.20610,,125.00086,,47.97680,,105.81296,
2013-08,2286.6,,2259.8,,1416.4,,310.3,,533.1,,26.9,,9871.7,,8.2,,13.0,,11.1,,1.5,,0.4,,-4.8,,28.5,,116.69614,,119.36143,,173.40697,,46.42636,,125.10161,,40.65065,,106.11907,
2013-09,2293.0,,2266.5,,1427.7,,305.7,,533.1,,26.5,,9871.0,,6.9,,7.2,,11.5,,-4.4,,0.1,,-0.3,,3.7,,117.04684,,119.74179,,174.81663,,45.77055,,125.11793,,40.15289,,106.15852,
2013-10,2319.3,,2288.6,,1448.1,,307.3,,533.2,,30.7,,9876.7,,27.0,,22.8,,20.8,,2.0,,0.0,,4.3,,8.7,,118.42743,,120.94565,,177.35789,,46.06899,,125.12711,,46.61443,,106.25202,
2013-11,2306.1,,2280.6,,1440.9,,306.4,,533.2,,25.5,,9885.8,,-13.3,,-8.1,,-7.3,,-0.9,,0.1,,-5.2,,8.7,,117.74881,,120.51569,,176.46282,,45.93414,,125.14399,,38.77744,,106.34572,
2013-12,2314.4,,2287.2,,1445.8,,308.2,,533.2,,27.1,,9836.6,,8.7,,7.0,,5.3,,1.7,,0.0,,1.7,,-29.4,,118.19191,,120.88338,,177.11146,,46.18534,,125.14084,,41.39353,,106.02236,
2014-01,2317.1,,2292.9,,1453.7,,306.7,,532.5,,24.2,,9872.2,,1.8,,4.9,,7.2,,-1.6,,-0.7,,-3.1,,26.8,,118.28251,,121.14208,,177.99406,,45.94623,,124.97314,,36.63202,,106.31089,
2014-02,2332.7,,2307.9,,1463.1,,312.9,,531.9,,24.8,,9891.8,,15.5,,14.8,,9.9,,5.5,,-0.7,,0.7,,23.5,,119.07359,,121.92269,,179.20933,,46.77038,,124.82014,,37.72556,,106.56389,
2014-03,2329.0,,2308.4,,1462.3,,314.4,,531.7,,20.6,,9892.8,,-3.7,,0.5,,-0.8,,1.4,,-0.2,,-4.3,,0.8,,118.88222,,121.94921,,179.11277,,46.98615,,124.78407,,31.26236,,106.57297,
2014-04,2358.0,,2337.1,,1493.6,,312.4,,531.1,,20.9,,9882.9,,29.2,,28.9,,31.4,,-2.0,,-0.5,,0.4,,-7.1,,120.37422,,123.47448,,182.95744,,46.68687,,124.66369,,31.80514,,106.49702,
2014-05,2370.9,,2349.5,,1500.8,,317.3,,531.4,,21.4,,9940.0,,12.2,,11.8,,6.7,,4.8,,0.3,,0.4,,53.4,,120.99759,,124.09996,,183.77529,,47.41162,,124.73747,,32.37097,,107.07249,
2014-06,2369.3,,2343.5,,1496.0,,315.6,,531.9,,25.7,,9972.9,,-1.6,,-6.0,,-4.7,,-1.7,,0.4,,4.4,,33.7,,120.91537,,123.78405,,183.19575,,47.15849,,124.84221,,38.98934,,107.43583,
2014-07,2377.5,,2351.1,,1505.4,,314.0,,531.7,,26.4,,10005.6,,7.6,,7.0,,8.8,,-1.6,,-0.1,,0.5,,31.5,,121.30079,,124.15427,,184.26725,,46.91776,,124.81146,,39.81172,,107.77552,
2014-08,2397.2,,2367.7,,1518.6,,316.6,,532.4,,29.5,,10050.6,,19.1,,16.1,,12.9,,2.5,,0.6,,3.0,,42.2,,122.27433,,125.00424,,185.84853,,47.29797,,124.96022,,44.30990,,108.22984,
2014-09,2400.2,,2372.4,,1525.6,,314.0,,532.8,,27.8,,10100.6,,1.2,,3.2,,5.7,,-2.9,,0.4,,-2.0,,41.0,,122.33713,,125.17408,,186.55181,,46.86072,,125.05305,,41.32717,,108.67170,
2014-10,2413.2,,2384.6,,1544.4,,307.8,,532.3,,28.6,,10122.3,,12.8,,12.1,,18.7,,-6.2,,-0.4,,0.8,,21.1,,122.99146,,125.81056,,188.83589,,45.93699,,124.95311,,42.47816,,108.89903,
2014-11,2423.9,,2394.8,,1553.8,,309.0,,532.0,,29.1,,10186.6,,10.8,,10.2,,9.5,,1.1,,-0.4,,0.6,,64.5,,123.54180,,126.35087,,189.99569,,46.10453,,124.86674,,43.30527,,109.59275,
2014-12,2427.2,,2401.4,,1555.9,,313.2,,532.2,,25.8,,10333.9,,0.7,,4.3,,1.3,,4.1,,-1.2,,-3.6,,39.9,,123.57819,,126.57706,,190.15851,,46.72205,,124.58924,,37.99685,,110.02212,
2015-01,2455.7,,2425.9,,1587.0,,308.8,,530.1,,29.8,,10403.4,,27.1,,23.7,,28.7,,-3.9,,-1.1,,3.4,,21.6,,124.95733,,127.82732,,193.66959,,46.14520,,124.32183,,42.95418,,110.25231,
2015-02,2483.7,,2451.9,,1611.3,,310.6,,530.0,,31.8,,10432.4,,27.6,,25.7,,24.0,,1.8,,-0.1,,1.9,,53.4,,126.36390,,129.18213,,196.60213,,46.40758,,124.30421,,45.73606,,110.81943,
2015-03,2498.4,,2465.0,,1626.1,,308.7,,530.1,,33.4,,10476.3,,12.6,,11.4,,13.7,,-2.5,,0.1,,1.3,,32.5,,127.00683,,129.78034,,198.27455,,46.03831,,124.33209,,47.58085,,111.16487,
2015-04,2529.8,,2490.5,,1650.2,,309.4,,530.9,,39.3,,10547.4,,32.6,,26.4,,24.6,,1.0,,0.8,,6.2,,82.4,,128.66245,,131.16946,,201.27557,,46.18973,,124.50993,,56.38464,,112.03934,
2015-05,2541.7,,2508.3,,1672.8,,303.8,,531.7,,33.4,,10562.9,,11.0,,17.0,,22.0,,-5.8,,0.8,,-6.1,,9.4,,129.21976,,132.06608,,203.95394,,45.32997,,124.70303,,47.67717,,112.13878,
2015-06,2547.7,,2515.4,,1682.7,,300.6,,532.1,,32.3,,10579.9,,6.8,,7.8,,10.5,,-3.0,,0.4,,-1.0,,24.0,,129.56766,,132.47908,,205.23004,,44.88325,,124.79027,,46.24798,,112.39332,
2015-07,2565.3,,2534.2,,1698.7,,303.2,,532.3,,31.0,,10653.1,,12.8,,14.2,,15.4,,-1.5,,0.3,,-1.4,,63.9,,130.21868,,133.22510,,207.10544,,44.66207,,124.85365,,44.29298,,113.07201,
2015-08,2571.6,,2541.2,,1709.3,,299.3,,532.6,,30.4,,10663.4,,7.5,,8.0,,11.4,,-3.7,,0.3,,-0.5,,33.6,,130.59807,,133.64540,,208.49186,,44.11980,,124.92475,,43.54962,,113.43026,
2015-09,2595.8,,2555.7,,1724.4,,297.7,,533.7,,40.1,,10696.7,,24.3,,14.6,,15.1,,-1.5,,1.0,,9.6,,25.6,,131.83066,,134.41523,,210.33043,,43.90430,,125.16568,,57.34034,,113.70389,
2015-10,2621.5,,2579.5,,1747.9,,296.8,,534.7,,42.0,,10778.9,,24.8,,23.0,,22.9,,-1.0,,1.1,,1.8,,77.1,,133.09048,,135.62589,,213.12937,,43.75764,,125.41575,,59.89882,,114.52376,
2015-11,2650.7,,2606.4,,1765.7,,305.2,,535.6,,44.2,,10835.5,,27.3,,25.3,,16.4,,8.1,,0.8,,2.0,,45.4,,134.47663,,136.95701,,215.13290,,44.94757,,125.60637,,62.73381,,115.00564,
2015-12,2651.8,,2609.0,,1764.9,,308.4,,535.7,,42.8,,10847.6,,2.6,,3.8,,0.2,,3.4,,0.2,,-1.1,,17.4,,134.61087,,137.15600,,215.15945,,45.44825,,125.64605,,61.11540,,115.19112,
2016-01,2677.5,,2633.8,,1795.1,,302.1,,536.6,,43.7,,10912.4,,26.1,,25.1,,30.4,,-6.3,,0.9,,1.0,,66.7,,135.93520,,138.47554,,218.87063,,44.52633,,125.86060,,62.52660,,115.89927,
2016-02,2688.7,,2644.8,,1808.1,,299.3,,537.4,,43.9,,10974.1,,13.2,,12.9,,13.0,,-0.9,,0.8,,0.3,,61.6,,136.60541,,139.15566,,220.46027,,44.39294,,126.04907,,62.90567,,116.55296,
2016-03,2690.0,,2647.8,,1803.3,,306.9,,537.6,,42.2,,10987.6,,3.1,,4.4,,-3.5,,7.7,,0.1,,-1.3,,25.3,,136.76169,,139.38580,,220.03775,,45.53424,,126.08324,,61.04361,,116.82185,
2016-04,2710.7,,2668.8,,1822.2,,308.8,,537.8,,42.0,,11039.9,,20.5,,20.8,,18.8,,1.9,,0.2,,-0.3,,50.7,,137.80391,,140.48257,,222.33338,,45.81136,,126.11909,,60.55904,,117.36078,
2016-05,2723.6,,2681.0,,1836.8,,306.6,,537.6,,42.6,,11081.6,,11.7,,11.3,,13.9,,-2.4,,-0.1,,0.4,,35.3,,138.39971,,141.07771,,224.02479,,45.45155,,126.08855,,61.15644,,117.73570,
2016-06,2731.4,,2689.2,,1844.6,,306.8,,537.8,,42.2,,11115.1,,7.9,,8.3,,8.1,,0.0,,0.2,,-0.4,,31.5,,138.80130,,141.51421,,225.01372,,45.45318,,126.12962,,60.59353,,118.07107,
2016-07,2754.0,,2705.9,,1858.6,,309.0,,538.3,,48.1,,11178.0,,23.3,,17.4,,14.1,,2.7,,0.5,,6.0,,65.5,,139.98783,,142.42800,,226.73877,,45.85702,,126.24662,,69.19329,,118.76725,
2016-08,2755.4,,2712.3,,1866.0,,307.8,,538.5,,43.2,,11201.7,,1.4,,6.5,,7.4,,-1.2,,0.2,,-5.1,,24.0,,140.05645,,142.76903,,227.64507,,45.68334,,126.29811,,61.81614,,119.02229,
2016-09,2766.8,,2724.1,,1870.7,,315.3,,538.1,,42.7,,11240.0,,11.4,,12.0,,4.8,,7.6,,-0.4,,-0.5,,38.6,,140.63834,,143.39957,,228.23345,,46.80928,,126.19745,,61.05549,,119.43219,
2016-10,2761.6,,2720.6,,1874.9,,307.7,,538.0,,41.0,,11264.8,,-5.8,,-4.0,,3.9,,-7.8,,-0.1,,-1.8,,26.6,,140.34535,,143.18996,,228.70977,,45.65241,,126.17553,,58.50573,,119.71521,
2016-11,2786.1,,2745.7,,1894.5,,313.1,,538.0,,40.5,,11336.3,,22.8,,23.7,,18.5,,5.2,,0.0,,-0.9,,63.5,,141.50492,,144.43576,,230.96825,,46.42026,,126.17104,,57.28891,,120.38979,
2016-12,2802.2,,2760.0,,1912.7,,309.0,,538.2,,42.3,,11386.6,,16.0,,14.2,,18.0,,-3.9,,0.2,,1.7,,47.4,,142.31668,,145.18522,,233.15819,,45.83643,,126.22330,,59.74686,,120.89716,
2017-01,2828.6,,2785.0,,1930.6,,315.4,,538.9,,43.7,,11441.7,,27.4,,25.8,,18.5,,6.6,,0.7,,1.6,,60.8,,143.70901,,146.54231,,235.41686,,46.80836,,126.39112,,62.03253,,121.54302,
2017-02,2839.3,,2796.8,,1944.1,,313.6,,539.0,,42.6,,11491.6,,10.4,,11.6,,12.9,,-1.4,,0.1,,-1.2,,45.3,,144.23504,,147.15285,,236.99304,,46.60272,,126.40583,,60.25834,,122.02442,
2017-03,2848.7,,2807.9,,1955.8,,313.5,,538.6,,40.8,,11580.7,,9.9,,11.5,,12.0,,-0.1,,-0.4,,-1.7,,92.6,,144.73622,,147.75929,,238.45870,,46.59410,,126.30270,,57.91003,,123.00808,
2017-04,2850.0,,2809.6,,1960.6,,309.8,,539.2,,40.3,,11580.1,,1.1,,2.6,,5.4,,-3.4,,0.6,,-1.5,,5.6,,144.79237,,147.89769,,239.12174,,46.08736,,126.44366,,55.74651,,123.06804,
2017-05,2856.0,,2815.1,,1968.0,,307.8,,539.3,,40.8,,11605.6,,7.6,,6.8,,8.4,,-1.7,,0.2,,0.8,,40.4,,145.17676,,148.25611,,240.14397,,45.82749,,126.48444,,56.79329,,123.49773,
2017-06,2884.5,,2843.4,,1995.2,,309.1,,539.2,,41.1,,11642.8,,29.5,,29.1,,27.8,,1.5,,-0.2,,0.4,,42.9,,146.67664,,149.78981,,243.53694,,46.04958,,126.44308,,57.32720,,123.95391,
2017-07,2879.0,,2838.8,,1992.4,,304.7,,541.7,,40.2,,11663.2,,-6.4,,-5.7,,-1.8,,-4.1,,0.1,,-0.7,,28.2,,146.34901,,149.48722,,243.31804,,45.44304,,126.47178,,56.35236,,124.25474,
2017-08,2885.3,,2846.6,,2002.7,,302.3,,541.6,,38.7,,11733.9,,6.9,,8.4,,10.8,,-2.2,,-0.1,,-1.5,,74.5,,146.70170,,149.93087,,244.63444,,45.11315,,126.43829,,54.26908,,125.04844,
2017-09,2896.8,,2858.3,,2011.4,,305.1,,541.8,,38.5,,11772.8,,11.2,,11.3,,8.5,,2.7,,0.2,,-0.2,,39.6,,147.27044,,150.52799,,245.66949,,45.51771,,126.47375,,54.05719,,125.47040,
2017-10,2896.1,,2858.8,,2019.0,,297.8,,542.0,,37.4,,11802.1,,-1.3,,-0.1,,7.1,,-7.5,,0.3,,-1.3,,24.8,,147.20201,,150.52425,,246.53920,,44.40386,,126.53776,,52.26922,,125.73503,
2017-11,2911.2,,2873.6,,2033.1,,298.5,,542.1,,37.6,,11846.2,,16.1,,15.8,,14.8,,1.0,,0.0,,0.4,,52.4,,148.02058,,151.35359,,248.34035,,44.54855,,126.54507,,52.76453,,126.29297,
2017-12,2923.6,,2886.1,,2047.1,,296.7,,542.4,,37.5,,11858.6,,13.1,,13.1,,14.5,,-1.7,,0.3,,0.0,,17.7,,148.68441,,152.04351,,250.10762,,44.29955,,126.61507,,52.70419,,126.48201,
2018-01,2929.7,,2893.8,,2058.0,,294.7,,541.2,,35.9,,11904.2,,9.1,,10.5,,11.6,,-1.4,,0.3,,-1.4,,58.0,,149.14909,,152.59724,,251.53036,,44.09199,,126.67467,,50.77234,,127.10112,
2018-02,2932.3,,2896.3,,2063.2,,291.8,,541.3,,36.0,,11921.1,,1.2,,1.2,,4.5,,-3.2,,-0.2,,0.0,,9.6,,149.20850,,152.66052,,252.08329,,43.61751,,126.63890,,50.72566,,127.20312,
2018-03,2943.6,,2908.0,,2072.1,,294.2,,541.8,,35.5,,11938.0,,11.7,,12.1,,9.2,,2.5,,0.4,,-0.4,,20.5,,149.80568,,153.29977,,253.20409,,43.99371,,126.74143,,50.17306,,127.42192,
2018-04,2948.5,,2913.8,,2083.1,,288.8,,541.8,,34.7,,11984.6,,5.1,,5.8,,10.5,,-4.8,,0.1,,-0.7,,41.9,,150.06330,,153.60358,,254.48436,,43.27969,,126.75588,,49.18335,,127.86938,
2018-05,2975.9,,2939.2,,2111.5,,285.9,,541.9,,36.7,,12048.5,,25.6,,23.8,,27.2,,-3.4,,0.1,,1.8,,52.7,,151.36618,,154.85985,,257.80867,,42.76369,,126.77069,,51.69175,,128.43172,
2018-06,2990.0,,2956.0,,2112.6,,301.5,,541.9,,34.0,,12132.0,,14.0,,16.7,,1.2,,15.6,,0.0,,-2.7,,82.7,,152.07807,,155.73899,,257.94944,,45.09320,,126.76123,,47.89897,,129.31286,
2018-07,2989.0,,2956.3,,2120.1,,294.4,,541.8,,32.8,,12119.9,,-0.5,,0.7,,7.8,,-7.0,,-0.1,,-1.1,,-11.0,,152.05462,,155.77503,,258.90075,,44.04291,,126.74175,,46.28500,,129.19517,
2018-08,2984.8,,2952.3,,2118.6,,292.0,,541.8,,32.5,,12148.0,,-4.6,,-4.3,,-1.9,,-2.5,,0.0,,-0.3,,25.5,,151.82107,,155.54792,,258.67285,,43.67482,,126.74550,,45.88834,,129.46738,
2018-09,3014.9,,2983.4,,2149.8,,291.7,,541.9,,31.4,,12190.7,,29.8,,31.0,,31.2,,-0.4,,0.2,,-1.2,,41.4,,153.33738,,157.17927,,262.48613,,43.61037,,126.78345,,44.26372,,129.90804,
2018-10,3025.2,,2990.4,,2156.0,,292.3,,542.1,,34.8,,12255.1,,9.2,,5.9,,5.5,,0.3,,0.1,,3.3,,61.2,,153.80291,,157.48958,,263.15218,,43.65557,,126.81462,,48.85807,,130.55981,
2018-11,3040.0,,3007.7,,2173.6,,291.6,,542.4,,32.3,,12303.6,,14.9,,17.4,,17.7,,-0.7,,0.4,,-2.5,,49.7,,154.55849,,158.40369,,265.30751,,43.55734,,126.89781,,45.36000,,131.08918,
2018-12,3056.2,,3025.7,,2196.7,,286.5,,542.6,,30.6,,12365.1,,17.0,,18.7,,23.6,,-5.0,,0.1,,-1.7,,64.8,,155.42143,,159.38729,,268.18711,,42.80546,,126.92542,,42.97027,,131.77966,
2019-01,3048.4,,3016.5,,2182.7,,291.0,,542.9,,31.9,,12390.0,,-7.8,,-9.1,,-14.0,,4.5,,0.4,,1.3,,19.3,,155.02299,,158.90734,,266.47862,,43.48085,,127.01030,,44.76392,,131.98446,
2019-02,3061.9,,3030.7,,2190.6,,296.6,,543.5,,31.2,,12452.0,,12.7,,13.5,,7.6,,5.2,,0.6,,-0.7,,61.1,,155.67133,,159.61671,,267.40845,,44.26230,,127.15556,,43.75630,,132.63557,
2019-03,3093.3,,3061.4,,2222.8,,292.0,,546.6,,31.9,,12529.0,,29.3,,28.6,,30.4,,-4.9,,3.1,,0.7,,69.5,,157.16099,,161.12277,,271.11790,,43.53329,,127.87938,,44.74387,,133.37562,
2019-04,3109.4,,3077.1,,2237.8,,292.5,,546.9,,32.3,,12590.5,,16.1,,15.7,,15.0,,0.5,,0.3,,0.4,,63.1,,157.98127,,161.94953,,272.94464,,43.60255,,127.94190,,45.35634,,134.04786,
2019-05,3116.5,,3084.8,,2248.4,,289.7,,546.6,,31.8,,12656.2,,6.9,,7.4,,10.5,,-2.8,,-0.3,,-0.5,,63.0,,158.33189,,162.34046,,274.22839,,43.18954,,127.86581,,44.61595,,134.71854,
2019-06,3133.7,,3101.2,,2265.4,,289.3,,546.5,,32.5,,12698.9,,18.1,,17.2,,17.6,,-0.3,,-0.1,,0.9,,50.1,,159.25124,,163.24675,,276.37501,,43.14625,,127.84500,,45.84490,,135.25177,
2019-07,3137.9,,3106.1,,2274.2,,285.5,,546.4,,31.8,,12764.2,,3.3,,4.0,,8.3,,-4.1,,-0.1,,-0.8,,59.7,,159.41818,,163.45978,,277.38240,,42.53636,,127.81683,,44.76955,,135.88799,
2019-08,3166.6,,3134.6,,2296.5,,292.6,,545.4,,32.0,,12872.0,,27.9,,27.9,,21.9,,7.0,,-1.0,,0.0,,104.2,,160.83668,,164.92847,,280.05394,,43.57539,,127.59031,,44.78783,,136.99707,
2019-09,3169.1,,3136.1,,2301.6,,289.6,,544.9,,32.9,,12904.2,,1.7,,0.8,,4.5,,-3.3,,-0.5,,0.9,,27.4,,160.92318,,164.97083,,280.60817,,43.09088,,127.47674,,46.04638,,137.28885,
2019-10,3179.9,,3149.6,,2316.2,,289.4,,544.0,,30.3,,12960.5,,11.8,,14.3,,15.3,,-0.1,,-0.9,,-2.5,,61.7,,161.52055,,165.72226,,282.47858,,43.07478,,127.25491,,42.52156,,137.94582,
2019-11,3181.5,,3151.7,,2317.9,,290.6,,543.2,,29.8,,13005.6,,0.7,,1.3,,1.2,,1.0,,-0.8,,-0.6,,40.4,,161.55737,,165.79093,,282.62077,,43.22002,,127.05942,,41.70643,,138.37567,
2019-12,3196.8,,3165.0,,2340.7,,282.2,,542.1,,31.8,,12984.8,,16.5,,14.3,,23.5,,-8.1,,-1.1,,2.2,,-14.6,,162.39677,,166.54553,,285.48394,,42.01801,,126.81253,,44.76361,,138.22062,
2020-01,3191.3,,3156.5,,2335.4,,282.0,,539.1,,34.8,,13048.2,,-6.5,,-9.4,,-6.0,,-0.4,,-3.0,,2.9,,57.5,,162.06444,,166.05132,,284.75773,,41.95166,,126.11280,,48.77330,,138.83259,
2020-02,3207.3,,3175.1,,2352.8,,285.3,,537.1,,32.1,,13148.2,,15.6,,18.3,,17.2,,3.2,,-2.1,,-2.8,,97.7,,162.85523,,167.01621,,286.85169,,42.43091,,125.63244,,44.89429,,139.87214,
2020-03,3298.7,,3270.5,,2454.5,,281.5,,534.5,,28.2,,13475.6,,91.6,,95.5,,101.8,,-3.7,,-2.6,,-3.8,,328.7,,167.50809,,172.03764,,299.26060,,41.87510,,125.02963,,39.54265,,143.36905,
2020-04,3304.1,,3275.8,,2463.1,,278.0,,534.6,,28.3,,13625.4,,4.7,,4.7,,8.3,,-3.7,,0.2,,0.0,,145.6,,167.74818,,172.28604,,300.27039,,41.31990,,125.06994,,39.55105,,144.91789,
2020-05,3341.1,,3314.2,,2498.9,,280.6,,534.8,,26.9,,13790.6,,30.4,,31.6,,28.6,,2.9,,0.1,,-1.2,,166.5,,169.29193,,173.94821,,303.75815,,41.74612,,125.09948,,37.87976,,146.68842,
2020-06,3350.5,,3325.3,,2516.3,,274.1,,535.0,,25.2,,13885.8,,9.6,,11.2,,17.4,,-6.4,,0.2,,-1.6,,97.4,,169.77850,,174.53683,,305.87746,,40.78925,,125.14858,,35.61088,,147.72439,
2020-07,3361.6,,3337.9,,2522.1,,281.4,,534.4,,23.7,,13968.0,,36.0,,35.9,,28.5,,8.0,,-0.6,,0.0,,170.6,,171.60062,,176.42361,,309.34329,,41.98321,,125.01213,,35.62781,,149.53974,
2020-08,3370.9,,3348.5,,2536.1,,277.6,,534.8,,22.4,,14003.8,,9.7,,11.0,,14.2,,-3.6,,0.4,,-1.3,,38.0,,172.09613,,177.00310,,311.07987,,41.44209,,125.11284,,33.73667,,149.94671,
2020-09,3398.8,,3376.7,,2567.6,,274.2,,534.9,,22.1,,14151.6,,27.0,,27.4,,30.9,,-3.7,,0.1,,-0.4,,141.6,,173.47450,,178.44900,,314.87076,,40.89619,,125.13758,,33.20124,,151.46319,
2020-10,3427.9,,3405.9,,2596.2,,274.7,,535.0,,22.0,,14239.9,,27.8,,28.0,,28.4,,-0.6,,0.1,,-0.1,,86.2,,174.89587,,179.92747,,318.35843,,40.80698,,125.16909,,33.00910,,152.38598,
2020-11,3442.9,,3414.7,,2614.5,,265.0,,535.2,,28.2,,14338.8,,16.3,,14.4,,23.6,,-9.4,,0.2,,1.9,,107.1,,175.72650,,180.68958,,321.25488,,39.41457,,125.21070,,35.78960,,153.53232,
2020-12,3458.2,,3429.1,,2632.4,,261.8,,534.9,,29.1,,14469.2,,16.4,,15.4,,18.7,,-3.0,,-0.3,,1.0,,142.8,,176.56152,,181.50209,,323.54694,,38.96274,,125.14963,,37.06613,,155.06081,
2021-01,3484.5,,3459.1,,2681.8,,240.8,,536.5,,25.4,,14579.9,,26.6,,30.3,,49.9,,-21.2,,1.6,,-3.7,,108.8,,177.92024,,183.10587,,329.67730,,35.80878,,125.52709,,32.36239,,156.22647,
2021-02,3497.3,,3473.5,,2701.8,,234.3,,537.4,,23.8,,14655.8,,12.6,,14.3,,19.9,,-6.5,,0.9,,-1.7,,75.4,,178.56186,,183.86093,,332.11953,,34.84457,,125.73323,,30.20278,,157.03429,
2021-03,3532.5,,3503.9,,2734.3,,231.4,,538.3,,28.5,,14741.9,,33.5,,28.9,,31.3,,-3.3,,0.8,,4.6,,74.6,,180.27269,,185.39051,,335.97067,,34.35978,,125.92683,,36.06312,,157.83319,
2021-04,3539.6,,3515.4,,2746.6,,229.8,,538.9,,24.2,,14789.0,,8.7,,12.9,,13.6,,-1.4,,0.7,,-4.2,,59.6,,180.71724,,186.07289,,337.64026,,34.15444,,126.08851,,30.76942,,158.47144,
2021-05,3554.4,,3526.2,,2757.5,,229.5,,539.2,,28.1,,14864.9,,15.7,,11.2,,11.2,,-0.2,,0.3,,4.5,,79.9,,181.52025,,186.66783,,339.01410,,34.11996,,126.15801,,36.47552,,159.32811,
2021-06,3565.1,,3536.0,,2773.8,,223.1,,539.1,,29.1,,14949.2,,9.3,,8.4,,15.4,,-6.8,,-0.2,,0.9,,74.3,,181.99494,,187.11345,,340.90136,,33.11315,,126.12037,,37.61242,,160.12428,
2021-07,3583.2,,3554.2,,2796.4,,218.4,,539.3,,29.0,,15047.1,,18.1,,18.1,,22.2,,-4.4,,0.3,,-0.1,,99.3,,182.91643,,188.07289,,343.63130,,32.46742,,126.18287,,37.50909,,161.18788,
2021-08,3600.3,,3569.5,,2812.5,,217.7,,539.3,,30.9,,15124.0,,16.5,,14.7,,15.5,,-0.7,,-0.1,,1.8,,74.8,,183.75929,,188.85102,,345.53184,,32.36618,,126.16431,,39.84170,,161.99015,
2021-09,3612.7,,3579.6,,2822.9,,217.7,,539.0,,33.1,,15219.1,,14.0,,12.4,,12.6,,0.1,,-0.3,,1.5,,87.3,,184.47200,,189.50945,,347.08184,,32.38560,,126.09368,,41.80267,,162.92565,
2021-10,3627.0,,3593.9,,2825.4,,229.7,,538.8,,33.1,,15324.0,,14.3,,14.3,,2.6,,11.9,,-0.2,,0.1,,107.6,,185.20362,,190.26414,,347.39772,,34.15097,,126.05115,,41.89494,,164.07710,
2021-11,3630.6,,3601.4,,2840.2,,222.5,,538.7,,29.2,,15390.8,,2.3,,6.3,,13.8,,-7.3,,-0.1,,-4.0,,66.5,,185.32168,,190.59894,,349.08860,,33.06284,,126.02574,,36.82244,,164.79028,
2021-12,3652.1,,3621.9,,2852.6,,230.5,,538.9,,30.2,,15484.7,,21.4,,20.5,,12.3,,7.9,,0.2,,1.0,,93.7,,186.41475,,191.68155,,350.60648,,34.24039,,126.06779,,38.03093,,165.79376,
2022-01,3683.8,,3655.5,,2881.3,,235.2,,539.0,,28.3,,15536.6,,30.6,,32.6,,28.0,,4.4,,0.2,,-2.0,,46.8,,187.97815,,193.40751,,354.04811,,34.89952,,126.10831,,35.52983,,166.29443,
2022-02,3710.9,Provisional value,3679.9,Provisional value,2902.6,Provisional value,238.4,Provisional value,538.9,Provisional value,30.9,Provisional value,15604.7,Provisional value,26.9,Provisional value,24.2,Provisional value,21.0,Provisional value,3.3,Provisional value,-0.1,Provisional value,2.7,Provisional value,65.9,Provisional value,189.34981,Provisional value,194.68710,Provisional value,356.62454,Provisional value,35.39223,Provisional value,126.08424,Provisional value,38.91775,Provisional value,167.00001,Provisional value
"",,,,,,,,,,,,,Source: European Central Bank,,,,,,,,,,,,,,Source: European Central Bank,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,,General: 1 Statistical changes have been eliminated.,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: European Central Bank,
