Year;Value;Region;Chapter;Table;Indicator;Energy Source
2005;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Naphtha
2007;13.29;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Naphtha
2010;10.6763;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Naphtha
2015;13.27084139;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Naphtha
2019;14.2677787825455;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Naphtha
2006;9.51;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Kerosene
2008;9.302869;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Kerosene
2014;7.08671819;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Kerosene
2015;6.82630659;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Kerosene
2016;5.39681339000001;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Kerosene
2011;5.5361;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2012;5.2705;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2013;5.5045869;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2014;5.72289863;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2016;6.99751497;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2020;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Aviation Turbine Fuel
2014;69.41622012;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;High Speed Diesel Oil
2020;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;High Speed Diesel Oil
2008;0.552257;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Light Diesel Oil
2011;0.4148;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Light Diesel Oil
2012;0.3985;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Light Diesel Oil
2007;12.72;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2008;12.58805593;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2014;5.96085622;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2016;7.15042936;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2019;6.3015391187901;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2020;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Fuel oil
2005;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Lubricants
2006;1.9;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Lubricants
2008;2.0;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Lubricants
2007;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Waxes
2009;0.29;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Waxes
2010;0.25;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Waxes
2009;6.59;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Petroleum Coke
2012;10.1348;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Petroleum Coke
2018;21.345929281;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Petroleum Coke
2019;21.708158825;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Petroleum Coke
2006;3.83;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Bitumen
2014;5.072832861;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Bitumen
2016;5.935501018;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Bitumen
2017;6.085851527;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Bitumen
2007;5.45;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Other Pertroleum Products
2011;4.92;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Other Pertroleum Products
2013;5.96;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Trends in Consumption of Petroleum Products;Other Pertroleum Products
2005;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2008;12.359338;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2010;16.381309;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2012;18.347203;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2017;21.163693;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2019;23.509948;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2020;;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Refinery Fuel and Losses;Fuel oil
2010;157.422409;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Total including Refinery Fuel;Fuel oil
2011;165.4229196;India;Consumption Of Energy Resources;6.6: Trends in Consumption of Petroleum Products;Total including Refinery Fuel;Fuel oil
